state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXOX.O.XX,OXOX.O..X,O,7,1.0,0.33333333330000003,0.0,0.0,0.0,-0.3333333333
OXOX.O..X,OXOX....X,X,6,0.6666666667,0.16666666669999997,0.0,-0.1666666667,0.3333333333,0.0
OXOXXXOOX,OXOXX.OOX,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOXX.OOX,OXOXX.O.X,X,8,1.0,0.0,0.0,0.0,0.0,0.0
OXOXX.O.X,OXOX..O.X,O,7,1.0,0.33333333330000003,0.0,-0.3333333333,0.0,0.0
OXOX.XOOX,OXOX.XO.X,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXOX.XO.X,OXOX..O.X,O,7,0.5,-0.16666666669999997,0.5,0.16666666670000002,0.0,0.0
OXOX..OXX,OXOX..O.X,O,7,0.5,-0.16666666669999997,0.5,0.16666666670000002,0.0,0.0
OXOX..O.X,OXOX....X,X,6,0.6666666667,0.16666666669999997,0.3333333333,0.16666666659999999,0.0,-0.3333333333
OXOXX..OX,OXOX...OX,O,7,0.5,0.16666666670000002,0.0,0.0,0.5,-0.16666666669999997
OXOX.X.OX,OXOX...OX,O,7,0.5,0.16666666670000002,0.0,0.0,0.5,-0.16666666669999997
OXOX..XOX,OXOX...OX,O,7,0.0,-0.3333333333,0.0,0.0,1.0,0.33333333330000003
OXOX...OX,OXOX....X,X,6,0.3333333333,-0.16666666670000002,0.0,-0.1666666667,0.6666666667,0.3333333334
OXOX....X,OXO.....X,O,5,0.5,-0.03333333329999999,0.1666666667,0.0,0.3333333333,0.03333333329999999
OXOOXXO.X,OXOOXX..X,X,8,0.0,0.0,1.0,0.5,0.0,-0.5
OXOOXXXOX,OXOOXX.OX,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXOOXX.OX,OXOOXX..X,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXOOXX..X,OXOOX...X,O,7,0.0,-0.5,0.5,0.33333333330000003,0.5,0.16666666670000002
OXOOXOXXX,OXOOXOX.X,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOOXOX.X,OXOOX.X.X,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
OXOOX.XOX,OXOOX.X.X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OXOOX.X.X,OXOOX...X,O,7,0.5,0.0,0.0,-0.1666666667,0.5,0.16666666670000002
OXOOX..XX,OXOOX...X,O,7,1.0,0.5,0.0,-0.1666666667,0.0,-0.3333333333
OXOOX...X,OXO.X...X,X,6,0.5,-0.08333333330000003,0.1666666667,0.08333333339999999,0.3333333333,0.0
OXO.XOXOX,OXO.XOX.X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OXO.XOX.X,OXO.XO..X,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
OXO.XO.XX,OXO.XO..X,O,7,1.0,0.33333333330000003,0.0,0.0,0.0,-0.3333333333
