state,parent_state,to_move,layer,P(X wins),P(O wins),P(draws)
XXO.O..XO,XXO.O..X.,X,6,0.0000000000,0.6666666667,0.3333333333
XXO.O..X.,X.O.O..X.,O,5,0.0000000000,0.8333333333,0.1666666667
X.OXOOXX.,X.OXOO.X.,O,7,1.0000000000,0.0000000000,0.0000000000
X.OXOOOXX,X.OXOO.XX,X,8,0.0000000000,1.0000000000,0.0000000000
X.OXOO.XX,X.OXOO.X.,O,7,0.5000000000,0.5000000000,0.0000000000
X.OXOO.X.,X.OXO..X.,X,6,0.5000000000,0.5000000000,0.0000000000
X.OXO.OX.,X.OXO..X.,X,6,0.0000000000,1.0000000000,0.0000000000
X.OXOXOXO,X.OXOX.XO,X,8,0.0000000000,1.0000000000,0.0000000000
X.OXOX.XO,X.OXO..XO,O,7,0.5000000000,0.5000000000,0.0000000000
X.OXO.XXO,X.OXO..XO,O,7,1.0000000000,0.0000000000,0.0000000000
X.OXO..XO,X.OXO..X.,X,6,0.5000000000,0.5000000000,0.0000000000
X.OXO..X.,X.O.O..X.,O,5,0.4166666667,0.5833333333,0.0000000000
X.O.OXOX.,X.O.OX.X.,X,6,0.0000000000,1.0000000000,0.0000000000
X.O.OXXXO,X.O.OX.XO,O,7,0.5000000000,0.0000000000,0.5000000000
X.O.OX.XO,X.O.OX.X.,X,6,0.3333333333,0.3333333333,0.3333333333
X.O.OX.X.,X.O.O..X.,O,5,0.3333333333,0.5000000000,0.1666666667
X.O.OOXXX,X.O.OOXX.,O,7,1.0000000000,0.0000000000,0.0000000000
X.O.OOXX.,X.O.O.XX.,X,6,0.6666666667,0.3333333333,0.0000000000
X.O.O.XXO,X.O.O.XX.,X,6,0.5000000000,0.1666666667,0.3333333333
X.O.O.XX.,X.O.O..X.,O,5,0.6666666667,0.1666666667,0.1666666667
X.O.OO.XX,X.O.O..XX,X,6,0.5000000000,0.5000000000,0.0000000000
X.O.O.OXX,X.O.O..XX,X,6,0.0000000000,1.0000000000,0.0000000000
X.O.O..XX,X.O.O..X.,O,5,0.4166666667,0.5833333333,0.0000000000
X.O.O..X.,X.O....X.,X,4,0.3666666667,0.5333333333,0.1000000000
XXOX.OOXO,XXOX.OOX.,X,8,0.0000000000,1.0000000000,0.0000000000
XXOX.OOX.,XXO..OOX.,O,7,0.0000000000,1.0000000000,0.0000000000
XXO.XOOX.,XXO..OOX.,O,7,1.0000000000,0.0000000000,0.0000000000
XXO..OOXX,XXO..OOX.,O,7,0.5000000000,0.5000000000,0.0000000000
XXO..OOX.,XXO..O.X.,X,6,0.5000000000,0.5000000000,0.0000000000
XXO..O.XO,XXO..O.X.,X,6,0.0000000000,1.0000000000,0.0000000000
XXO..O.X.,X.O..O.X.,O,5,0.2500000000,0.7500000000,0.0000000000
X.OXXOOXO,X.OXXOOX.,X,8,0.0000000000,1.0000000000,0.0000000000
X.OXXOOX.,X.OX.OOX.,O,7,0.5000000000,0.5000000000,0.0000000000
X.OX.OOXX,X.OX.OOX.,O,7,0.5000000000,0.5000000000,0.0000000000
X.OX.OOX.,X.OX.O.X.,X,6,0.3333333333,0.6666666667,0.0000000000
X.OX.O.XO,X.OX.O.X.,X,6,0.0000000000,1.0000000000,0.0000000000
X.OX.O.X.,X.O..O.X.,O,5,0.4166666667,0.5833333333,0.0000000000
X.O.XOOXX,X.O.XOOX.,O,7,1.0000000000,0.0000000000,0.0000000000
X.O.XOOX.,X.O.XO.X.,X,6,0.8333333333,0.1666666667,0.0000000000
X.O.XO.XO,X.O.XO.X.,X,6,0.0000000000,1.0000000000,0.0000000000
X.O.XO.X.,X.O..O.X.,O,5,0.5833333333,0.4166666667,0.0000000000
X.O..OXXO,X.O..OXX.,X,6,0.0000000000,1.0000000000,0.0000000000
X.O..OXX.,X.O..O.X.,O,5,0.5000000000,0.5000000000,0.0000000000
X.O..OOXX,X.O..O.XX,X,6,0.6666666667,0.3333333333,0.0000000000
X.O..O.XX,X.O..O.X.,O,5,0.7500000000,0.2500000000,0.0000000000
X.O..O.X.,X.O....X.,X,4,0.5000000000,0.5000000000,0.0000000000
XXOX..OXO,XXO...OXO,O,7,0.0000000000,1.0000000000,0.0000000000
XXO.X.OXO,XXO...OXO,O,7,1.0000000000,0.0000000000,0.0000000000
XXO..XOXO,XXO...OXO,O,7,0.5000000000,0.5000000000,0.0000000000
XXO...OXO,XXO...OX.,X,6,0.5000000000,0.5000000000,0.0000000000
XXO...OX.,X.O...OX.,O,5,0.4166666667,0.5833333333,0.0000000000
X.OXX.OXO,X.OX..OXO,O,7,0.5000000000,0.5000000000,0.0000000000
X.OX.XOXO,X.OX..OXO,O,7,0.5000000000,0.5000000000,0.0000000000
X.OX..OXO,X.OX..OX.,X,6,0.3333333333,0.6666666667,0.0000000000
X.OX..OX.,X.O...OX.,O,5,0.3333333333,0.6666666667,0.0000000000
X.O.XXOXO,X.O.X.OXO,O,7,1.0000000000,0.0000000000,0.0000000000
X.O.X.OXO,X.O.X.OX.,X,6,0.8333333333,0.1666666667,0.0000000000
X.O.X.OX.,X.O...OX.,O,5,0.9166666667,0.0833333333,0.0000000000
X.O..XOXO,X.O..XOX.,X,6,0.6666666667,0.3333333333,0.0000000000
X.O..XOX.,X.O...OX.,O,5,0.5000000000,0.5000000000,0.0000000000
X.O...OXX,X.O...OX.,O,5,0.5000000000,0.5000000000,0.0000000000
X.O...OX.,X.O....X.,X,4,0.5333333333,0.4666666667,0.0000000000
XXO....XO,X.O....XO,O,5,0.2500000000,0.5833333333,0.1666666667
X.OX...XO,X.O....XO,O,5,0.4166666667,0.5833333333,0.0000000000
X.O.X..XO,X.O....XO,O,5,0.4166666667,0.4166666667,0.1666666667
X.O..X.XO,X.O....XO,O,5,0.5000000000,0.1666666667,0.3333333333
X.O...XXO,X.O....XO,O,5,0.2500000000,0.4166666667,0.3333333333
X.O....XO,X.O....X.,X,4,0.3666666667,0.4333333333,0.2000000000
X.O....X.,..O....X.,O,3,0.5111111111,0.3888888889,0.1000000000
.XOOX..X.,.XOO...X.,O,5,1.0000000000,0.0000000000,0.0000000000
.XOOOXXXO,.XOOOXXX.,X,8,0.0000000000,0.0000000000,1.0000000000
.XOOOXXX.,.XOOOX.X.,O,7,0.5000000000,0.0000000000,0.5000000000
