layer,state,px,x_order,parent_state,parent_adj_prob,weight,centered_prob
4,.XO.XO...,0.65,56,.XO.X....,0.5057142857146985,0.34579771065295023,0.47512515775536535
4,.XOOX....,0.7333333333,57,.XO.X....,0.5057142857146985,0.34579771065295023,0.5584584910553653
4,.XO.X.O..,0.8666666667,58,.XO.X....,0.5057142857146985,0.34579771065295023,0.6917918244553654
4,..OOXX...,0.5333333333,59,..O.XX...,0.5057142857146985,0.34579771065295023,0.3584584910553653
4,..O.XX.O.,0.7333333333,60,..O.XX...,0.5057142857146985,0.34579771065295023,0.5584584910553653
4,..O.XX..O,0.7333333333,61,..O.XX...,0.5057142857146985,0.34579771065295023,0.5584584910553653
4,..O.XXO..,0.8666666667,62,..O.XX...,0.5057142857146985,0.34579771065295023,0.6917918244553654
4,X.O.X...O,0.4,63,X.O.X....,0.5334920635146985,0.34579771065295023,0.21551966578509898
4,X.O.XO...,0.6666666667,64,X.O.X....,0.5334920635146985,0.34579771065295023,0.4821863324850989
4,X.OOX....,0.7333333333,65,X.O.X....,0.5334920635146985,0.34579771065295023,0.5488529990850989
4,X.O.X..O.,0.7666666667,66,X.O.X....,0.5334920635146985,0.34579771065295023,0.582186332485099
4,X.O.X.O..,0.8666666667,67,X.O.X....,0.5334920635146985,0.34579771065295023,0.682186332485099
4,..O.X..OX,0.7333333333,68,..O.X...X,0.5334920635146985,0.34579771065295023,0.5488529990850989
4,..OOX...X,0.7666666667,69,..O.X...X,0.5334920635146985,0.34579771065295023,0.582186332485099
4,..O.XO..X,0.8333333333,70,..O.X...X,0.5334920635146985,0.34579771065295023,0.648852999085099
4,..O.X.O.X,0.8666666667,71,..O.X...X,0.5334920635146985,0.34579771065295023,0.682186332485099
4,..X.X.O.O,0.4,72,..X.X.O..,0.3112698413146985,0.34579771065295023,0.29236360147807017
4,..X.X.OO.,0.5,73,..X.X.O..,0.3112698413146985,0.34579771065295023,0.39236360147807015
4,.X..X.OO.,0.4666666667,74,.X..X.O..,0.4834920635146984,0.34579771065295023,0.2994762180177465
4,.X..X.O.O,0.6,75,.X..X.O..,0.4834920635146984,0.34579771065295023,0.43280955131774645
4,....XXO.O,0.5833333333,76,....XXO..,0.4834920635146984,0.34579771065295023,0.4161428846177465
4,....XXOO.,0.6833333333,77,....XXO..,0.4834920635146984,0.34579771065295023,0.5161428846177465
4,...XX.O.O,0.5833333333,78,...XX.O..,0.5057142857146985,0.34579771065295023,0.40845849105536536
4,...XX.OO.,0.65,79,...XX.O..,0.5057142857146985,0.34579771065295023,0.47512515775536535
4,....X.OXO,0.7333333333,80,....X.OX.,0.5057142857146985,0.34579771065295023,0.5584584910553653
4,X...X.O.O,0.4,81,X...X.O..,0.5334920635146985,0.34579771065295023,0.21551966578509898
4,X...X.OO.,0.6666666667,82,X...X.O..,0.5334920635146985,0.34579771065295023,0.4821863324850989
4,....X.OOX,0.8333333333,83,....X.O.X,0.5334920635146985,0.34579771065295023,0.648852999085099
4,.OO.X..X.,0.4666666667,84,.O..X..X.,0.3394993894644548,0.34579771065295023,0.3492685550551172
